0,max_velocity,weighted_velocity,mean_velocity,freq_of_max,area,label
1,4.869751207271401e-11,1.135248986099039e-12,2.5473199929817543e-12,0.8772155082653814,8.035556627063156e-08,impact_mq
2,2.53527299132083e-11,1.8921556393640104e-13,5.686999758953281e-13,0.8281300894618563,7.648820687378829e-08,impact_mq
3,3.463589995400369e-11,7.980257400482433e-13,1.85863801916563e-12,0.9697655465692081,5.858502725619864e-08,impact_mq
4,2.072148770010002e-11,1.9408915898644908e-13,4.485189292219276e-13,0.828125,8.72761145784401e-08,impact_mq
5,1.354161694177282e-11,3.1266409031987667e-13,7.601148106554978e-13,0.8281286484009817,5.877052618320202e-08,deep_mq
6,5.987094281255129e-11,1.8008792318951618e-12,3.4937372020339374e-12,0.8333742076667674,1.7786772048396943e-07,impact_mq
7,1.7690012502868178e-10,9.0457925170621e-12,1.4865608163814936e-11,0.8678558274138385,7.11806770400234e-07,impact_mq
8,2.506202446761376e-11,5.269100809272847e-13,1.123764054365829e-12,0.8384128147904946,1.9669406774149278e-07,impact_mq
9,1.3046132961250136e-11,2.8392182580574945e-13,6.333895976320428e-13,0.828116508471448,6.878916111111512e-08,deep_mq
10,2.751169469648443e-11,6.11265177807649e-13,1.4040876457361438e-12,0.9731615173627284,4.8904872280378545e-08,impact_mq
11,1.915401604150088e-11,4.716527308675878e-13,1.0827968462036996e-12,0.11926232674048773,1.1629466952699067e-07,impact_mq
12,1.3857287513858249e-11,3.1252678552259894e-13,7.226736553780119e-13,0.8281250000000001,6.893023392898315e-08,impact_mq
13,1.5108342722443145e-11,2.0291249361216206e-13,4.943082454150789e-13,0.828125,6.666326637443711e-08,impact_mq
14,5.34814922405251e-11,7.691907752771033e-13,1.9404304053361977e-12,0.828165441715095,5.217298438924782e-08,deep_mq
15,5.820592751996414e-11,3.2665176861671097e-13,8.437796089639224e-13,0.8281124756128916,5.3657794739485416e-08,deep_mq
16,1.4428112135866727e-11,3.423703628672229e-13,7.761810063944863e-13,0.8870717432882865,7.663891564071184e-08,impact_mq
17,6.130880386044101e-11,2.6886819450798796e-13,6.868467605965641e-13,0.8281327009810759,4.7886282459242656e-08,deep_mq
18,7.301761864194775e-11,3.776747719969733e-13,9.44716028984719e-13,0.8281311445000927,4.215123680275276e-08,impact_mq
19,5.500321581195321e-12,1.534532982508822e-13,3.6634724514724995e-13,0.8443294758409305,6.152684098125042e-08,impact_mq
20,9.151471756668938e-11,3.078464275839848e-13,7.646102995240252e-13,0.8281170189184761,5.2904178196376746e-08,impact_mq
21,2.720683687165602e-11,2.6575887075832023e-13,7.488538611644329e-13,0.828144852923549,3.672060909467755e-08,impact_mq
22,2.070779779722078e-11,8.438094794885018e-13,1.668910483872883e-12,0.8281291008670935,2.82220360295447e-07,shallow_mq
23,1.9553701440065463e-11,4.04222819473307e-13,8.928655219725644e-13,0.9095132224677902,1.2707499090203681e-07,impact_mq
24,1.8901339118276486e-11,3.8546325818618366e-13,8.59806023275372e-13,0.8757142457829341,1.0848890504817247e-07,impact_mq
25,4.707216351131051e-11,1.7326529100356247e-13,4.5435708708964564e-13,0.8281299602085209,7.186562647550128e-08,impact_mq
26,1.2684432046057191e-09,5.205067987341181e-11,9.485446966158657e-11,0.9534483192115255,1.7142216416566437e-06,impact_mq
27,2.384891298823986e-10,7.89304241455079e-12,1.5691667701661624e-11,0.4391601173301025,2.0500911085770924e-06,impact_mq
28,4.184071559827259e-11,1.7661986890322855e-13,3.8210962567468707e-13,0.8281319214021247,5.249932049933906e-08,impact_mq
29,7.894514519760256e-11,4.4420452152094686e-13,9.434777595891553e-13,0.828125,1.8146158652617435e-07,impact_mq
30,1.655491215267378e-10,6.302703391257496e-12,1.0634301400780291e-11,0.9017583387531357,7.302760233049253e-07,impact_mq
31,2.0911010593395312e-11,2.3622429961047567e-13,5.306289087233448e-13,0.8281343840015591,8.631660637631148e-08,impact_mq
32,7.785065215812768e-11,1.6007405368949423e-13,3.651718232772305e-13,0.828123238934929,6.233524011949719e-08,impact_mq
33,8.129325406329357e-12,2.2206900464163544e-13,5.97539057096636e-13,0.8281309806092849,7.639261546458468e-08,impact_mq
34,4.2452120971553235e-11,3.516986809762693e-13,7.277803857711223e-13,0.8281076387675665,4.167648603701e-08,impact_mq
35,1.9062646135986854e-11,6.529491458216766e-13,1.3772444274323852e-12,0.9295522790577855,1.3433410482706732e-07,impact_mq
36,2.5198821091072675e-11,3.525378986032021e-13,1.0099818522080124e-12,0.10813875210539302,5.442563806387152e-08,impact_mq
37,6.185140929912353e-11,1.5589393382059428e-12,3.2884024624646213e-12,0.4253275635805319,4.97772156266708e-07,impact_mq
38,4.691774281606842e-10,1.2017437750057901e-11,2.532740247133848e-11,0.4252774452717645,4.904813948887767e-07,impact_mq
39,3.1289779801636485e-11,1.438560989748294e-13,3.3363138165556715e-13,0.8281266062163605,6.142040216696263e-08,impact_mq
40,4.5646999848001025e-11,8.855850890245877e-13,1.876871136406772e-12,0.9185568299567656,1.0262191838903307e-07,impact_mq
41,1.2133861004368613e-10,1.8265070533917944e-13,4.631829240886001e-13,0.8281206687343421,5.783970205236178e-08,impact_mq
42,6.456670354970602e-11,1.425195944751063e-13,3.384065256558296e-13,0.828121749863617,6.014410617111242e-08,impact_mq
43,4.512180425773846e-11,1.0830573207058335e-12,2.4394605273859404e-12,0.928804278348319,2.1044125388616188e-08,impact_mq
44,2.0513907193383682e-11,1.1357021950539031e-13,2.3522626772752516e-13,0.8281235076274316,5.218862662252894e-08,impact_mq
45,3.25821198338575e-11,1.3107553938316795e-13,2.612475225180904e-13,0.828129145952549,4.3362762204251705e-08,deep_mq
46,1.641627816728518e-10,7.348404130857413e-12,1.2204260210524963e-11,0.9077275433258369,9.199781734972249e-07,shallow_mq
47,2.9101193496041953e-11,6.421473298786418e-13,1.3781158658567084e-12,0.8508218150404656,5.8478591426890744e-08,impact_mq
48,2.5849298052095963e-11,1.3736747276388835e-13,2.9866947252675766e-13,0.8281414155066,6.312639146532301e-08,impact_mq
49,1.6412451357147674e-11,1.2535449683896649e-13,2.717459738805267e-13,0.8281282501618947,5.2899918886942014e-08,impact_mq
50,1.4742184958309438e-11,1.4707690071311422e-13,3.33136723162543e-13,0.8281304113438103,3.7278488139304006e-08,deep_mq
51,1.3521326904363642e-11,1.2062742583896096e-13,3.1051837461580817e-13,0.8281234430023708,5.313083410584067e-08,impact_mq
52,2.2380655545011332e-11,3.871927873657111e-13,8.266926448650904e-13,0.8281442902732377,4.129414102945866e-08,impact_mq
53,4.326955049584262e-11,4.0669940420863996e-13,8.664477283034631e-13,0.8281491555581485,4.61851020758427e-08,impact_mq
54,2.137928694620621e-11,1.1363808210262447e-13,2.38261676140555e-13,0.8281217294287238,4.765630305805578e-08,impact_mq
55,1.1131412373813946e-11,2.896468672482117e-13,6.147429539368616e-13,0.9038335738944739,2.84164259427849e-08,deep_mq
56,1.0926718915479548e-11,4.1117000114761183e-13,7.605767477176129e-13,0.9321169966921926,1.878610872325946e-07,impact_mq
57,6.69888606992671e-11,1.5215038292282295e-12,3.20533094066175e-12,0.9102043915986808,1.451514653083731e-08,impact_mq
58,2.6029261356604977e-11,3.3465424098482974e-13,8.18897179681401e-13,0.8281338901353716,7.744525044696565e-08,impact_mq
59,9.760103899308345e-11,2.0941776438600525e-12,4.2100177320117586e-12,0.8789223582474227,2.6911949685988684e-08,impact_mq
60,1.4405155774883784e-11,2.5458302368729803e-13,6.017778905012628e-13,0.8280895907071764,8.875123804260167e-08,impact_mq
61,1.889163196394171e-10,1.0409341683609595e-11,1.6869930530190662e-11,0.918133556859458,3.085010088932824e-07,impact_mq
62,3.407345005043781e-11,2.909817972593876e-13,6.431900030659327e-13,0.8281299371031687,4.0418021806092015e-08,impact_mq
63,2.2043386152785625e-11,1.889525551415848e-13,4.549956550620963e-13,0.8281272644246415,5.722449094515343e-08,impact_mq
64,5.3902500953407177e-11,8.893337544072656e-13,1.8039063385712652e-12,0.8814346960353784,9.542344138480457e-08,impact_mq
65,1.1604772033878891e-10,1.6310141051318541e-13,4.1353700895488496e-13,0.8281320864507773,4.735185889575726e-08,deep_mq
66,1.5292985775294637e-10,2.376323480123374e-13,5.876814363780751e-13,0.828125,4.552247888162507e-08,impact_mq
67,1.7898866219562352e-10,1.3092479794986358e-13,3.468291833365446e-13,0.828125,6.107178268748395e-08,impact_mq
68,2.378058565106753e-11,1.9667878697957913e-13,4.608689437981601e-13,0.8281299484317393,8.177104033204307e-08,impact_mq
69,3.3562613715966994e-11,2.461201152132329e-13,6.472819361088108e-13,0.8281178899830863,4.747823153541033e-08,impact_mq
70,3.6778654532011085e-11,1.9924818961061684e-13,5.169407599316389e-13,0.8281234990801911,9.103859305323188e-08,shallow_mq
71,6.672553307645319e-11,2.86193488275355e-13,6.758815079852985e-13,0.8281162594332155,6.736387894621398e-08,impact_mq
72,5.643752684043209e-11,5.636102321832072e-13,1.1575350257175686e-12,0.8281084236864054,6.995074911401542e-08,impact_mq
73,1.7551473043037933e-10,9.065458895707427e-12,1.5109831402135547e-11,0.9327938174394867,1.0296907999144418e-06,impact_mq
74,1.8086269337509614e-10,6.075516955438053e-12,1.1880518852991818e-11,0.3947097279546892,1.6700251902372819e-06,impact_mq
75,2.268122968908344e-11,3.249054702973298e-13,6.390915801091883e-13,0.8281512039996203,5.1018525152540945e-08,impact_mq
76,4.490986313221793e-11,1.6261231673240142e-13,3.8723239716668267e-13,0.8281300565622601,6.616184209534657e-08,impact_mq
